Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trils,Occlusions/Cat,PARA,Duration,Occlusions/Cat,NOTE: Taps for this participant seem to be stable at pre-task as well as some intervocalic Trills.
120b,corredor,,50,,approximant,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,Pre para Taps x̄ =,,
,,,43.22727273,40.74509804,,,37.68333333,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Taps N=67,,,,Trills N=50 occlussions,,,,
,True ,Approximant,Perceptual,,0,1,2,3,
,n=,n= ,n=,,,,,,
,x̄ =,x̄ =,x̄ = ,,x̄ =,x̄ =,x̄ =,x̄ =,
,,,,,,,,,
,,,,,,,,,
Paragraph 1,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
1,,Roberto,,52,0,,,,
2,Roberto,,41,,approximant,,,,
3,para,,37,,approximant,,,,
4,,América,30,,1 True,,,,
5,Caribe,,38,,approximant,,,,
6,pérdida,,35,,approximant,,,,
7,,región,,46,0,,,,
8,,relacionada,,42,0,,,,
9,,rápida,,27,1,,,,
10,,tierras,,36,0,,,,
11,para,,46,,approximant,,,,
12,pérdida,,46,,approximant,,,,
13,,desarrollo,,26,1,,,,
14,infraestructura,,57,,approximant,,,,
15,,relacionada,,35,0,,,,
16,,carreteras,,27,0,,,,
17,carreteras,,N/A,,N/A,,,,
18,para,,48,,approximant,,,,
19,,carros,,34,0,,,,
20,,carrozas,,31,0,,,,
21,,rotundo ,,29,0,,,,
22,productor,,51,,approximant,,,,
23,materia,,33,,1 True,,,,
24,,relevante,,38,0,,,,
25,minería,,54,,approximant,,,,
26,por,,50,,approximant,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,
,,,43.53846154,35.25,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Paragraph 2,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
1,norte,,41,,approximant,,,,
2,acerca,,29,,1 True,,,,
3,sería,,30,,1 True,,,,
4,fuerte,,37,,approximant,,,,
5,,repente,,23,1,,,,
6,viajero,,26,,1 True,,,,
7,verlo,,42,,approximant,,,,
8,convinieron,,48,,approximant,,,,
9,primero,,35,,approximant,,,,
10,consiguiera,,N/A,,perceptual,,,,
11,quitarle,,54,,approximant,,,,
12,seria,,34,,approximant,,,,
13,fuerte,,43,,approximant,,,,
14,norte,,52,,approximant,,,,
15,soplar,,55,,approximant,,,,
16,furia,,34,,approximant,,,,
17,pero,,52,,approximant,,,,
18,,aferraba,,46,1,,,,
19,norte,,46,,approximant,,,,
20,esplendor ,,43,,approximant,,,,
21,,arrojó,,27,1,,,,
22,norte,,46,,approximant,,,,
23,,reconocer,,35,0,,,,
24,reconocer,,40,,approximant,,,,
25,superioridad,,48,,approximant,,,,
26,superioridad,,37,,approximant,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,
,,,41.52380952,32.75,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Describir imágenes,,,,,,,,,
Semi-spontaneous,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
Imagen A,,Correr,,35,0,,,,
Imagen A,Correr,,35,,approximant,,,,
Imagen A,,Perros,,38,,,,,
Imagen B,Caminar,,,,,,,,
Imagen B,,Arroz,,33,0,,,,
Imagen B,,,,,,,,,
Imagen C,Caminar,,,,,,,,
Imagen C,Lavar,,,,,,,,
Imagen C,Mujer,,,,,,,,
Imagen C,,Ropa,,37,0,,,,
Imagen D,,Correr,,33,0,,,,
Imagen D,Correr,,36,,approximant,,,,
Imagen D,Toro,,30,,approximant,,,,
Imagen D,Atacar,,,,,,,,
Imagen E,Lavar,,,,,,,,
Imagen E,Mujer,,51,,approximant,,,,
Imagen E,Cara,,27,,1 True,,,,
