Sentence reading task,,,,,,,,,,,"""para""",,,,"""para""",,,Taps target tokens,,,,,
Sentence,Tap,Trill,Duration tap,Duration ,Occlusions,PARA,Duration,,Occlusions,,Duration,Occlusions,,,Duration,Occlusions,,TRUE n =37 target tokens,,Frication n =3 target tokens,,Approximant n =26 target tokens,
53,,tierra,,51,1 + frication (dr),para,46,,approximant,,,,,,20,approximant,,,,,,,
54,,sonrisa,,136,1 + frication (dr),para,28,,approximant,,,,,,35,approximant,,,,,,,
55,(tiempo),,,,,para,37,,approximant,,,,,,33,approximant,,,,,,,
56,,alrededor,,178,1 + frication (dr),para,36,,approximant,,,,,,35,approximant,,,,,,,
56b,alrededor,,27,,1 True,,,,,,,,,,35,approximant,,,,,,,
57,,enriquece,,88,1 + frication (dr),para,42,,approximant,,,,,,24,approximant,,,,,,,
58,(mango),,,,,para,43,,approximant,,,,,,19,approximant,,,,,,,
59,,honrado,,N/A,0,para,39,,approximant,,,,,,27,approximant,,,,,,,
60,,israel,,155,1 + frication (dr),para,44,,approximant,,,,,,34,approximant,,,,,,,
61,(comida),,,,,para,53,,approximant,AUDIO 6,,,,,20,approximant,,,,,,,
62,cara,,41,,approximant,para,31,,approximant,,,,,,23,approximant,,,,,,,
63,madera,,32,,approximant,para,44,,approximant,,,,,,33,approximant,,,,,,,
64,(música),,,,,para,22,,approximant,,,,,,22,approximant,,,,,,,
65,cereza,,41,,1 TRUE,para,27,,approximant,,,,,,29,approximant,,,,,,,
66,quiero,,32,,1 TRUE,para,30,,approximant,,,,,,24,approximant,,,,,,,
67,(médico),,,,,para,28,,approximant,,,,,,12,approximant,,,,,,,
68,pereza,,82,,1 + frication (dr),para,20,,approximant,,,,,,33,approximant,,,,,,,
69a,parar,,43,,approximant,,,,,,,,,,36,approximant,,,,,,,
69b,parar,,27,,1 TRUE,para,35,,approximant,,,,,,23,approximant,,,,,,,
70,(mesa),,,,,para,33,,approximant,,,,,,"""para"" approximant x̄ =",,,,,,,,
71a,querer,,42,,approximant,,,,,,,,,,35.93150685,,,,,,,,
71b,querer,,31,,1 TRUE,para,35,,approximant,,,,,,,,,,,,,,
72a,morir,,31,,1 TRUE,para,N/A,,perceptual,,,,,,,,,,,,,,
72b,morir,,26,,1 TRUE,,,,,,,,,,,,,,,,,,
73,(amigo),,,,,para,35,,approximant,,,,,,,,,,,,,,
74a,mirar,,21,,1 TRUE,,,,,,,,,,,,,,,,,,
74b,mirar,,24,,1 TRUE,para,24,,approximant,,,,,,,,,,,,,,
75a,tirar,,37,,approximant,,,,,,,,,,,,,,,,,,
75b,tirar,,20,,approximant,para,19,,approximant,,,,,,,,,,,,,,
76,(cocina),,,,,para,26,,1 TRUE,AUDIO 7,,,,,,,,,,,,,
77a,morder,,41,,approximant,,,,,,,,,,,,,,,,,,
77b,morder,,26,,1 TRUE,para,27,,approximant,,,,,,,,,,,,,,
78a,marcar,,25,,approximant,,,,,,,,,,,,,,,,,,
78b,marcar,,40,,approximant,para,34,,approximant,,,,,,,,,,,,,,
79,(tiza),,,,,para,N/A,,perceptual,,,,,,,,,,,,,,
80a,cortar ,,29,,1 TRUE,,,,,,,,,,,,,,,,,,
80b,cortar ,,28,,1 TRUE,para,20,,approximant,,,,,,,,,,,,,,
81a,hurtar,,20,,approximant,,,,,,,,,,,,,,,,,,
81b,hurtar,,25,,1 TRUE,para,N/A,,perceptual,,,,,,,,,,,,,,
82,(dieta),,,,,para,26,,1 TRUE,,,,,,,,,,,,,,
83a,perder,,27,,1 TRUE,,,,,,,,,,,,,,,,,,
83b,perder,,23,,approximant,para,23,,approximant,,,,,,,,,,,,,,
