Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration taps,Duration ,Occlusions,PARA,Duration,Occlusions,
Imagen F,Reir,,N/P,,,,,,
Imagen G,Dar,,39,,1 True,,,,
Imagen G,,Rojo,,N/P,,,,,
Imagen G,,Zorro,,113,2 + frication (dr),,,,
Imagen G,Flor,,45,,approximant,,,,
Imagen H,,Rojo,,N/P,,,,,
Imagen H,Girar,,20,,1 True,,,,
Imagen H,Girar,,N/P,,,,,,
Imagen H,,Carro,,77,2 + frication (dr),,,,
Imagen H,,Rápido,,77,2,,,,
,,,,,,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,,,
,,,26.7,72.22222222,,,,,
,,,,,,,,,
,,,,,,,,,
Forced choice,Not included in post task for Sp101,,,,,,,,
Preguntas,Tap,Trill,,Duration ,Occlusions,,,,
1,,correr,,,,,,,
1,correr,,,,,,,,
1,caminar,,,,,,,,
2,comer,,,,,,,,
2,,restaurantes,,,,,,,
2,cocinar,,,,,,,,
3,,rojo,,,,,,,
3,,rosado,,,,,,,
4,,ropa,,,,,,,
4,cara,,,,,,,,
4,,ropa,,,,,,,
4,barata,,,,,,,,
5,peras,,,,,,,,
5,moras,,,,,,,,
6,,carro,,,,,,,
6,,carro,,,,,,,
7,,arroz,,,,,,,
7,cereal,,,,,,,,
8,cortar,,,,,,,,
8,cortar,,,,,,,,
8,comprar,,,,,,,,
9,,gorra,,,,,,,
9,,correa,,,,,,,
10,tener,,,,,,,,
10,,rutina,,,,,,,
11,limpiar,,,,,,,,
11,lavar,,,,,,,,
12,,perro,,,,,,,
12,,burro,,,,,,,
