"","sentence","tap","trill","duration_taps","duration","occlusions"
"141","110a",NA,"narrar",NA,"66","2 + frication (dr)"
"142","110b","narrar",NA,"25",NA,"1 True"
"143","111a",NA,"borrar",NA,"64","2 + frication (dr)"
"144","111b","borrar",NA,"23",NA,"1 True"
"145","112","(estoy)",NA,NA,NA,NA
"146","113a",NA,"cerrar ",NA,"66","2 + frication (dr)"
"147","113b","cerrar",NA,"33",NA,"1 True"
"148","114a",NA,"derribar",NA,"62","2 + frication (dr)"
"149","114b","derribar",NA,"15",NA,"1 True"
"150","115","(común)",NA,NA,NA,NA
"151","116a",NA,"corregir",NA,"62","2 + frication (dr)"
"152","116b","corregir",NA,"32",NA,"1 True (l)"
"153","117a",NA,"irritar",NA,"64","2 + frication (dr)"
"154","117b","irritar",NA,"21",NA,"1 True"
"155","118","(menos)",NA,NA,NA,NA
"156","119a",NA,"interrogar",NA,"59","2 + frication (dr)"
"157","119b","interrogar",NA,"38",NA,"1 True"
"158","120a",NA,"corredor",NA,"77","2 + frication (dr)"
"159","120b","corredor",NA,"26",NA,"1 True"
