"","sentence","token","duration","occlusions","participant","level","time","trial","is_trill"
"310","117a","irritar","57","1","P1E","sp1","PRE",152,"trill"
"311","117b","irritar","24","1 TRUE","P1E","sp1","PRE",153,"tap"
"312","118","(menos)_(menos)","NA",NA,"P1E","sp1","PRE",154,NA
"313","119a","interrogar","62","1 + frication (dr)","P1E","sp1","PRE",155,"trill"
"314","119b","interrogar","39","approximant","P1E","sp1","PRE",156,"tap"
"315","120a","corredor","93","2 + frication (dr)","P1E","sp1","PRE",157,"trill"
"316","120b","corredor","22","approximant","P1E","sp1","PRE",158,"tap"
"317","1","(papa)","NA",NA,"P3E","sp1","POST",1,NA
"318","2","ahora","21","approximant","P3E","sp1","POST",2,"tap"
"319","3","ahorra","138","2","P3E","sp1","POST",3,"trill"
"320","4","(uno)","NA",NA,"P3E","sp1","POST",4,NA
"321","5","vara","24","approximant","P3E","sp1","POST",5,"tap"
"322","6","barra","137","3","P3E","sp1","POST",6,"trill"
"323","7","(pata)","NA",NA,"P3E","sp1","POST",7,NA
"324","8","coral ","32","approximant","P3E","sp1","POST",8,"tap"
"325","9","corral","142","2 / 2 / 1","P3E","sp1","POST",9,"trill"
"326","10","(duelo)","NA",NA,"P3E","sp1","POST",10,NA
"327","11","caro","20","approximant","P3E","sp1","POST",11,"tap"
"328","12","carro","139","6","P3E","sp1","POST",12,"trill"
"329","13","(cuna)","NA",NA,"P3E","sp1","POST",13,NA
"330","14","pera","19","1 True","P3E","sp1","POST",14,"tap"
"331","15","perra","192","4","P3E","sp1","POST",15,"trill"
"332","16","(huelo)","NA",NA,"P3E","sp1","POST",16,NA
"333","17","careta","16","1 True","P3E","sp1","POST",17,"tap"
"334","18","carreta","156","2","P3E","sp1","POST",18,"trill"
"335","19","(cena)","NA",NA,"P3E","sp1","POST",19,NA
"336","20","encerar","17","1 True","P3E","sp1","POST",20,"tap"
"337","20b","encerar","14","approximant","P3E","sp1","POST",21,"tap"
"338","21","encerrar","190","1","P3E","sp1","POST",22,"trill"
"339","21b","encerrar","30","approximant","P3E","sp1","POST",23,"tap"
"340","22","(pena)","NA",NA,"P3E","sp1","POST",24,NA
"341","23","perito","15","1 True","P3E","sp1","POST",25,"tap"
"342","24","perrito","165","4","P3E","sp1","POST",26,"trill"
"343","25","(invita)","NA",NA,"P3E","sp1","POST",27,NA
"344","26","pero","15","1 True","P3E","sp1","POST",28,"tap"
"345","27","perro","166","5","P3E","sp1","POST",29,"trill"
"346","28","(incita)","NA",NA,"P3E","sp1","POST",30,NA
"347","29","cero","18","1 True","P3E","sp1","POST",31,"tap"
"348","30","cerro","176","5","P3E","sp1","POST",32,"trill"
"349","31","(pato)","NA",NA,"P3E","sp1","POST",33,NA
"350","32","reto","139","2","P3E","sp1","POST",34,"trill"
"351","33","rifa","160","5","P3E","sp1","POST",35,"trill"
"352","34","(cometa)","NA",NA,"P3E","sp1","POST",36,NA
"353","35","risa","154","4","P3E","sp1","POST",37,"trill"
"354","36","rojo","161","3","P3E","sp1","POST",38,"trill"
"355","37","(gato)","NA",NA,"P3E","sp1","POST",39,NA
"356","38","ropa","151","4","P3E","sp1","POST",40,"trill"
"357","39","borracho","213","2","P3E","sp1","POST",41,"trill"
"358","40","(hilo)","NA",NA,"P3E","sp1","POST",42,NA
"359","41","carreta","180","3","P3E","sp1","POST",43,"trill"
"360","42","perrita","159","2","P3E","sp1","POST",44,"trill"
"361","43","(cono)","NA",NA,"P3E","sp1","POST",45,NA
"362","44","jarrita","141","3","P3E","sp1","POST",46,"trill"
"363","45","barrilete","169","3","P3E","sp1","POST",47,"trill"
"364","46","(camisa)","NA",NA,"P3E","sp1","POST",48,NA
"365","47","guitarra","191","3","P3E","sp1","POST",49,"trill"
"366","48","torre","196","3","P3E","sp1","POST",50,"trill"
"367","49","(clase)","NA",NA,"P3E","sp1","POST",51,NA
"368","50","burro ","198","3","P3E","sp1","POST",52,"trill"
"369","51","zorro","147","5","P3E","sp1","POST",53,"trill"
"370","52","(cómico)","NA",NA,"P3E","sp1","POST",54,NA
"371","53","tierra","188","3","P3E","sp1","POST",55,"trill"
"372","54","sonrisa","194","1","P3E","sp1","POST",56,"trill"
"373","55","(tiempo)","NA",NA,"P3E","sp1","POST",57,NA
"374","56","alrededor","N/A /d/","N/A","P3E","sp1","POST",58,"trill"
"375","56b","alrededor","42","approximant","P3E","sp1","POST",59,"tap"
"376","57","enriquece","27","1","P3E","sp1","POST",60,"trill"
"377","58","(mango)","NA",NA,"P3E","sp1","POST",61,NA
"378","59","honrado","83","1","P3E","sp1","POST",62,"trill"
"379","60","israel","147","3","P3E","sp1","POST",63,"trill"
"380","61","(cometa)","NA",NA,"P3E","sp1","POST",64,NA
"381","62","cara","19","1 True","P3E","sp1","POST",65,"tap"
"382","63","madera","18","approximant","P3E","sp1","POST",66,"tap"
"383","64","(música)","NA",NA,"P3E","sp1","POST",67,NA
"384","65","cereza","18","approximant","P3E","sp1","POST",68,"tap"
"385","66","quiero","16","1 True","P3E","sp1","POST",69,"tap"
"386","67","(médico)","NA",NA,"P3E","sp1","POST",70,NA
"387","68","pereza","16","1 True","P3E","sp1","POST",71,"tap"
"388","69a","parar","19","approximant","P3E","sp1","POST",72,"tap"
"389","69b","parar","32","approximant","P3E","sp1","POST",73,"tap"
"390","70","(mesa)","NA",NA,"P3E","sp1","POST",74,NA
"391","71a","querer","22","1 True","P3E","sp1","POST",75,"tap"
"392","71b","querer","20","approximant","P3E","sp1","POST",76,"tap"
"393","72a","morir","21","approximant","P3E","sp1","POST",77,"tap"
"394","72b","morir","27","approximant","P3E","sp1","POST",78,"tap"
